(10, 0, -39)
(11, -1, -39)
(8, 2, -41)
(11, -3, -42)
(11, 1, -40)
(9, 2, -40)
(12, 0, -40)
(9, -6, -40)
(8, -1, -42)
(13, 1, -41)
(10, -1, -40)
(11, 1, -39)
(12, -5, -40)
(12, 1, -38)
(10, -2, -38)
(9, 1, -39)
(10, 0, -39)
(11, -5, -40)
(9, -4, -40)
(12, 0, -40)
(12, -2, -41)
(9, -3, -41)
(12, -4, -38)
(9, -2, -41)
(11, 0, -40)
(13, -2, -40)
(9, -4, -40)
(11, -4, -39)
(9, -2, -42)
(9, -4, -37)
(9, 0, -40)
(10, -5, -39)
(10, -3, -40)
(10, -2, -42)
(11, -1, -43)
(8, 1, -41)
(10, -5, -42)
(9, -5, -43)
(9, -1, -40)
(9, -3, -40)
(10, -6, -40)
(10, -3, -40)
(10, -2, -40)
(10, -3, -42)
(9, -1, -40)
(10, -1, -42)
(10, -2, -41)
(10, -2, -38)
(11, 0, -40)
(9, -2, -41)
(10, -1, -40)
(10, 0, -40)
(12, -5, -39)
(9, -3, -39)
(11, -1, -40)
(11, -1, -40)
(7, -2, -41)
(11, -3, -36)
(11, -3, -41)
(8, -3, -41)
(10, -3, -39)
(12, 1, -41)
(11, 2, -39)
(11, 1, -37)
(9, -6, -41)
(8, 2, -40)
(10, -2, -40)
(10, -3, -38)
(11, -6, -40)
(10, 0, -40)
(9, 1, -37)
(9, -2, -39)
(9, -6, -39)
(7, -3, -41)
(10, -3, -39)
(10, -4, -39)
(12, -4, -39)
(11, -3, -39)
(10, 0, -39)
(12, -2, -40)
(10, -2, -40)
(12, 1, -40)
(7, 3, -38)
(11, -1, -40)
(8, -2, -38)
(12, 3, -41)
(10, -1, -39)
(9, 1, -41)
(11, -3, -42)
(11, -1, -41)
(10, 1, -41)
(10, -2, -41)
(9, -3, -41)
(10, -1, -41)
(10, -2, -41)
(10, -3, -40)
(12, 3, -40)
(11, 1, -40)
(11, -1, -41)
(9, -3, -40)
(10, -3, -41)
(9, 0, -40)
(10, -3, -40)
(10, 2, -40)
(10, 3, -42)
(7, -2, -41)
(10, 3, -39)
(10, 2, -40)
(13, 0, -40)
(10, -2, -40)
(11, 1, -40)
(8, -1, -39)
(9, -1, -40)
(11, 1, -41)
(11, 0, -39)
(9, 3, -43)
(13, 1, -40)
(11, -2, -41)
(10, -1, -40)
(10, 2, -43)
(8, -1, -41)
(10, 2, -41)
(7, -3, -42)
(9, -1, -38)
(9, -5, -39)
(11, -4, -39)
(10, 0, -39)
(12, 3, -42)
(10, 2, -39)
(10, -1, -38)
(10, -4, -42)
(8, -5, -41)
(9, -3, -39)
(7, -3, -38)
(10, -6, -39)
(11, -7, -42)
(10, -3, -41)
(8, -1, -37)
(10, -3, -41)
(8, -4, -40)
(8, -10, -38)
(10, -8, -39)
(9, -3, -39)
(9, -3, -41)
(9, 2, -40)
(10, 0, -41)
(11, -3, -38)
(11, -1, -39)
(11, -1, -41)
(10, -2, -38)
(9, -2, -40)
(11, -3, -38)
(13, -4, -39)
(12, -6, -39)
(10, -7, -39)
(7, 1, -39)
(9, -4, -39)
(10, -1, -42)
(11, -1, -40)
(9, -4, -42)
(9, 1, -41)
(10, 0, -40)
(9, -2, -39)
(9, -1, -38)
(9, -1, -42)
(11, -2, -42)
(11, -3, -42)
(9, -1, -40)
(12, -4, -39)
(8, -1, -41)
(6, -3, -40)
(8, -2, -40)
(7, -5, -39)
(10, -7, -38)
(8, -3, -39)
(11, -5, -40)
(10, -4, -41)
(9, -3, -41)
(9, -3, -39)
(9, 1, -40)
(12, -4, -39)
(8, -1, -40)
(10, -3, -40)
(10, 0, -40)
(9, -5, -39)
(10, -1, -39)
(8, -7, -38)
(10, -5, -41)
(10, -1, -40)
(10, -2, -39)
(8, -4, -38)
(13, -3, -40)
(10, -2, -40)
(11, 0, -39)
(10, -3, -40)
(9, 0, -41)
(11, -3, -42)
(10, -3, -44)
(10, -3, -41)
(11, 0, -42)
(13, -1, -41)
(13, 0, -39)
(9, -4, -42)
(9, -2, -40)
(10, -1, -41)
(9, -3, -40)
(9, 0, -39)
(10, -6, -41)
(10, -1, -40)
(9, -2, -42)
(11, -1, -42)
(8, -1, -40)
(10, -1, -40)
(10, -2, -41)
(10, 1, -40)
(9, -3, -39)
(10, -4, -41)
(9, -2, -42)
(9, -2, -40)
(12, 0, -37)
(11, -4, -39)
(11, -6, -42)
(9, -4, -41)
(11, -1, -40)
(9, -6, -40)
(9, -6, -42)
(9, -4, -41)
(8, -4, -42)
